Pixel,GreyValue
0,18.0000
1,18.0000
2,18.0000
3,18.0000
4,18.0000
5,18.0000
6,18.0000
7,18.0000
8,18.0000
9,18.0000
10,18.0000
11,18.0000
12,18.0000
13,18.0000
14,18.0000
15,18.0000
16,18.0000
17,18.0000
18,18.0000
19,18.0000
20,18.0000
21,18.0000
22,18.0000
23,18.0000
24,18.0000
25,18.0000
26,18.0000
27,18.0000
28,18.0000
29,18.0000
30,18.0000
31,18.0000
32,18.0000
33,18.0000
34,18.0000
35,18.0000
36,18.0000
37,18.0000
38,18.0000
39,18.0000
40,18.0000
41,18.0000
42,18.0000
43,18.0000
44,18.0000
45,18.0000
46,18.0000
47,18.0000
48,18.0000
49,18.0000
50,18.0000
51,18.0000
52,18.0000
53,18.0000
54,18.0000
55,18.0000
56,18.0000
57,12.0000
58,5.0000
59,3.0000
60,11.5000
61,14.0000
62,11.5000
63,3.5000
64,3.0000
65,15.0000
66,18.0000
67,18.0000
68,18.0000
69,18.0000
70,18.0000
71,21.0000
72,18.0000
73,18.0000
74,18.0000
75,18.0000
76,18.0000
77,18.0000
78,18.0000
79,18.0000
80,18.0000
81,18.0000
82,18.0000
83,18.0000
84,18.0000
85,18.0000
86,18.0000
87,18.0000
88,19.5000
89,19.5000
90,18.5000
91,18.0000
92,18.0000
93,18.0000
94,18.0000
95,18.0000
96,18.0000
97,18.0000
98,18.0000
99,18.5000
100,18.0000
101,18.0000
102,18.0000
103,18.0000
104,18.0000
105,18.0000
106,18.0000
107,18.0000
108,18.0000
109,18.0000
110,18.0000
111,18.0000
112,18.0000
113,18.0000
114,18.0000
115,18.0000
116,18.0000
117,18.0000
118,18.0000
119,20.0000
120,18.0000
121,17.0000
122,11.0000
123,2.5000
124,6.5000
125,15.5000
126,18.0000
127,18.0000
128,18.0000
129,18.0000
130,18.0000
131,18.0000
132,18.0000
133,18.0000
134,19.5000
135,18.0000
136,19.5000
137,18.0000
138,31.0000
139,18.5000
140,18.0000
141,18.0000
142,18.0000
143,18.0000
144,18.0000
145,18.0000
146,18.0000
147,18.0000
148,19.3333
149,20.8333
150,18.0000
151,18.0000
152,18.0000
153,18.0000
154,18.0000
155,19.5000
156,19.5000
157,18.0000
158,19.5000
159,19.5000
160,19.5000
161,18.0000
162,18.0000
163,18.6667
164,18.6667
165,21.1667
166,20.5000
167,18.5000
168,18.0000
169,21.0000
170,21.0000
171,21.0000
172,21.0000
173,18.0000
174,18.0000
